,placename,placeaddress,placephone,placeinfo,placeintro,openhour,placeimg
0,헬스엔플레이스스포츠시설,서울 마포구 독막로3길 30 3층,0507-1370-9688,"예약, 무선 인터넷",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201216_150%2F1608046733891uaR6D_JPEG%2FbfOoFfCG23cQnmMKDGEITPFq.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210405_233%2F1617592944146db9n0_PNG%2FmzVxo5tijpJ0P5dQdb4sEN9o.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210614_6%2F1623654177912Rojyf_JPEG%2FuhPDfPKhHq_4AyjFG_nGAQnf.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210614_73%2F1623654194736J9x64_JPEG%2FzZeYTGfJ1ny66M_zx_nN7LgF.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210614_141%2F1623654212100Vhkjx_JPEG%2Fk3qm3CeWE373Fm5TC_hXfHuv.jpg"
1,BM필라테스&PT 마포공덕점필라테스,서울 마포구 도화4길 19 2층,0507-1349-2223,"주차, 방문접수/출장, 예약, 무선 인터넷",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_294%2F1625705934519EzquK_PNG%2F0BG0UgaKm7ZvOyKW-BQ88Wpt.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_117%2F16257059337694oE5b_PNG%2FOBwmuHOvmjLgGsatZ37lgXUg.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_62%2F1625705933770dI5Mp_PNG%2FbKy305GOq9HEGesq4h4Brd80.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_199%2F1625705933417BpWU9_PNG%2F343jgmlpy_43FWlgv7pr8wMp.png, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210708_53%2F1625705933682qhRsU_PNG%2FfutJPNiPqb14B4eRVbVsCuB2.png"
2,14일동안 신촌점필라테스,서울 마포구 신촌로 88 태영빌딩 8층,0507-1333-1405,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210728_75%2F1627461508127p4yBh_JPEG%2FvT6VDpHAXsWkP1r-IQ50A7yP.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210318_79%2F1616032464204g6Qmn_JPEG%2FKTBRk2Czm9I7N8hZWwAGEHIF.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210628_227%2F1624859465403OakMr_JPEG%2FYGAt9I2aYUoJWDCbhpa66E2V.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191101_133%2F1572591072481oOgUh_JPEG%2F%25BD%25C5%25C3%25CC%25C1%25F6%25C1%25A1%25BB%25E7%25C1%25F8.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20161206_201%2F1480996268551F0LbP_JPEG%2F177156528128264_4.jpeg"
3,순필라테스필라테스,서울 마포구 동교로 201,0507-1408-7997,,,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20190213_74%2F1550052017445PfRL6_JPEG%2F3.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160623_290%2F1466648232189acDxI_JPEG%2F176573514732092_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160308_257%2F1457428464915DTRG1_JPEG%2F176258584444687_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160308_175%2F14574284650505CUrf_JPEG%2F176258584444687_1.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160308_181%2F14574284651803DUHd_JPEG%2F176258584444687_2.jpeg"
4,이지필라테스 홍대점필라테스,서울 마포구 월드컵북로2길 57 금화빌딩 2층,02-337-2900,"주차, 예약",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_173%2F15933920830221jMuU_JPEG%2Fimage.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200629_25%2F1593392084029du2eg_JPEG%2Fimage.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210218_268%2F1613633438763jwM6W_JPEG%2FgJc9JUbmp4ylc1toZoh_J1pw.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210218_185%2F1613633438752c9YEa_JPEG%2FgIi-Db_Af8M496QuIkIInT60.jpeg.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20210218_134%2F1613633438839l1mjs_JPEG%2FWNqsEpbczy4vcdy1DWLW_HrA.jpeg.jpg"
5,마마필라테스필라테스,서울 마포구 토정로37길 41 하나프라자 4층,02-718-5579,"단체석, 주차, 발렛파킹, 예약, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_133%2F1463816894276E1NiN_JPEG%2F176471567833329_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_60%2F14638168943514xiQT_JPEG%2F176471567833329_1.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_246%2F1463816894435qOcFd_JPEG%2F176471567833329_2.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_182%2F1463816894514rCRtB_JPEG%2F176471567833329_3.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160521_75%2F14638168945937MqIz_JPEG%2F176471567833329_4.jpeg"
6,머슬케어필라테스 공덕역점필라테스,서울 마포구 마포대로 109,02-711-9675,"주차, 예약, 무선 인터넷, 유아시설(놀이방), 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_4%2F1441005340183jrB93_JPEG%2F146151518936704_0.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_264%2F1441005340389QgUfV_JPEG%2F146151518936704_1.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_149%2F1441005340609FiWyL_JPEG%2F146151518936704_2.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_227%2F1441005340882oVwpq_JPEG%2F146151518936704_3.jpeg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20150831_234%2F1441005341084KGf6s_JPEG%2F146151518936704_4.jpeg"
7,리본필라테스 공덕점필라테스,서울 마포구 마포대로 78 자람빌딩,0507-1383-9760,"주차, 예약, 무선 인터넷, 남/녀 화장실 구분",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20180214_89%2F1518581340468vIYJu_JPEG%2FNKlo-jisvpb8qaCaALb9QiNc.JPG.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_178%2F15732165300846fMin_JPEG%2FjgORjoDdJnRfIa6KfVeXeW_W.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_93%2F15732165300234Pcnv_JPEG%2FUIMD2vfu0aV-lXN_-ddkU-7_.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_211%2F1573216529970jhEIA_JPEG%2F5TVLKaTKcAGUn91KRzspGz6T.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20191108_186%2F1573216529811qLam7_JPEG%2Fk-RFv_eAeyp_MlixTdeeIBtv.jpg"
8,필라테스욜로필라테스,"서울 마포구 연남로 1 3,4층",0507-1309-3384,"주차, 남/녀 화장실 구분, 제로페이",,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20201023_273%2F1603447228178z8bS8_JPEG%2FgIGCV6u9whlVjpTbq_GJNKXY.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200922_82%2F1600763408550Pabgw_JPEG%2FIkmrS7GUYBzgQYoKkFF4zdmf.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200923_249%2F1600850533564iTqwJ_JPEG%2FmKwA9Kw7C3eeOjgE5UTNfcVs.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200922_123%2F16007634415210mn27_JPEG%2FSHt8Fwgz8xDcJycMndBG6QZx.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200922_244%2F1600763418623NegXX_JPEG%2FSCtkghCoQQmBxbpcqbHh-3Ez.jpg"
9,제이핏필라테스 상암점필라테스,서울 마포구 월드컵북로 361 DMC이안 2단지 상가 3층 304~306호,010-3074-2949,예약,,,"https://search.pstatic.net/common/?autoRotate=true&amp;type=w560_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_269%2F14472945782087tPxl_JPEG%2FSUBMIT_1447293725509_33758403.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_28%2F1447293731961GnAMW_JPEG%2FSUBMIT_1447293725094_33758403.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_225%2F14472937321584PO1f_JPEG%2FSUBMIT_1447293725202_33758403.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_162%2F144729373234462JRv_JPEG%2FSUBMIT_1447293725367_33758403.jpg, https://search.pstatic.net/common/?autoRotate=true&amp;type=w278_sharpen&amp;src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20151112_108%2F1447294578449Nbf0x_JPEG%2FSUBMIT_1447293511611_33758403.jpg"
